IgnoreStatement,IncludeSC,IncludeSCname,IncludeRate,IncludeRateName,IncludeRatePeriodNumber,IncludeSeasonName,ExcludeMap,Standby,IncludeMap,Geo,endUse,statementCharge/chargeName,typeCode,type,docNumber,dpsCaseNumber,datePublished,effectivePeriod/startDate,effectivePeriod/expectedEndDate,statementCharge/servicePeriod/startDate,statementCharge/servicePeriod/expectedEndDate,dpsCompanyId,dpsPscNumber,serviceType,iedrOrgAbbreviation,statementCharge/chargesComponent,statementCharge/chargeValue,measurementDefinition/unitOfMeasure,measurementDefinition/measurementSource,measurementInterval/mode,measurementInterval/kind,measurementInterval/per,measurementDefinition/calculationMethod,generalRuleRefs,sourceURL,dataDownloadURL
,7,Large General Service with Time-of-Use Metering,7-2,Time-of-Use Primary Service,,,,,SC7,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.020274,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,7,Large General Service with Time-of-Use Metering,7-3,Time-of-Use Subtransmission Service,,,,,SC7,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.007122,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,7,Large General Service with Time-of-Use Metering,7-4,Time-of-Use Transmission Service,,,,,SC7,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.003111,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-1,Residential Regular - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000528,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-8,Residential Day Night - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.00054,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-12,Residential ToU - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000428,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-6,General Service Regular - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000225,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-9,General Service Day Night  - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000164,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,1,Residential Service,,,,,,,SC1,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000742,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,8,Residential Day Night Service,,,,,,,SC8,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000758,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,12,Residential Service with Time-of-Use Metering,,,,,,,SC12,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000602,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,5,Outdoor Lighting Service,,,,,,,SC5,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000532,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,6,General Service,,,,,,,SC6,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000316,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,9,General Service - Day Night Service,,,,,,,SC9,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.00023,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,2,General Service with Demand Metering,,,,,,,SC2,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.043723,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,3,Primary Service - 25 KW or more,3P,Primary Service with Demand,,,,,SC3,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.02859,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,3,Primary Service - 25 KW or more,3S,Subtransmission Service with Demand,,,,,SC3,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.028777,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,7,Large General Service with Time-of-Use Metering,7-1,Time-of-Use Secondary Service,,,,,SC7,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.037796,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,7,Large General Service with Time-of-Use Metering,7-2,Time-of-Use Primary Service,,,,,SC7,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.028489,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,7,Large General Service with Time-of-Use Metering,7-3,Time-of-Use Subtransmission Service,,,,,SC7,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.010007,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,7,Large General Service with Time-of-Use Metering,7-4,Time-of-Use Transmission Service,,,,,SC7,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.004371,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-1,Residential Regular - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000742,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-8,Residential Day Night - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000758,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-12,Residential ToU - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000602,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-6,General Service Regular - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.000316,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-9,General Service Day Night  - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 2,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.00023,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-2,General Service with Demand - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.001726,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-3P,Primary Service with Demand - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.001129,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-3S,Subtransmission Service with Demand - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.001117,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
,11,Standby Service,11-7-1,Time-of-Use Secondary Service - Standby,,,,STB,SC11,"A,B,C,D,E,F,G,H",,Arrears Relief Program Surcharge - Phase 1,ARP,Arrears Relief Program,7,,7/25/24,8/1/24,,8/1/24,,3569018,120,Electric,NYE,delivery,0.001498,kW,demand,PERIOD,MONTH,1,max,General Information Section 51,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2826693,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EZ%5B%2F%20%3C%5BK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A
